City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,esmeraldas,-19.7625,-44.3139,24.48,60,100,2.74,BR,1683839342
158,mount isa,-20.7333,139.5,14.87,38,0,3.6,AU,1683839636
159,winnemucca,40.973,-117.7357,21.03,19,40,1.9,US,1683839343
160,udachny,66.4167,112.4,1.36,69,100,5.74,RU,1683839637
161,itoman,26.1247,127.6694,20.01,77,7,4.12,JP,1683839637
162,touros,-5.1989,-35.4608,26.27,77,71,4.98,BR,1683839637
163,bahia de kino,28.8333,-111.9333,33.84,37,0,5.67,MX,1683839638
164,bartica,6.4,-58.6167,26.18,95,99,1.7,GY,1683839638
165,kristiansund,63.1115,7.732,10.36,87,75,1.03,NO,1683839638
166,georgetown,5.4112,100.3354,28.96,84,20,0.51,MY,1683839569
167,riberalta,-10.9833,-66.1,24.93,90,97,0.83,BO,1683839639
168,bedugul,-8.2847,115.1606,18.4,97,74,1.69,ID,1683839639
169,baglung,28.2719,83.5898,17.34,35,0,2.89,NP,1683839640
170,villa gesell,-37.2639,-56.973,13.36,67,67,3.65,AR,1683839640
171,riviere-du-loup,47.8304,-69.5342,14.7,55,4,1.09,CA,1683839640
172,al ghayzah,16.2079,52.176,28.2,70,32,2.7,YE,1683839589
173,greymouth,-42.4667,171.2,6.28,66,8,2.85,NZ,1683839406
174,labytnangi,66.6572,66.4183,-10.72,97,96,1.79,RU,1683839641
175,praia da vitoria,38.7333,-27.0667,17.64,95,57,4.13,PT,1683839641
176,coquimbo,-29.9533,-71.3436,14.85,88,40,3.09,CL,1683839642
177,longyearbyen,78.2186,15.6401,-3.09,74,75,7.72,SJ,1683839642
178,bredasdorp,-34.5322,20.0403,13.01,60,100,3.95,ZA,1683839642
179,kattivakkam,13.2167,80.3167,30.05,88,100,3.87,IN,1683839643
180,sao vicente,-23.9631,-46.3919,23.88,26,72,0.45,BR,1683839643
181,vizinga,61.0749,50.1031,7.08,74,94,2.16,RU,1683839643
182,nadi,-17.8,177.4167,28.0,65,20,4.63,FJ,1683839643
183,samut prakan,13.5,100.45,31.7,76,34,4.81,TH,1683839644
184,general acha,-37.377,-64.6043,18.22,43,24,4.18,AR,1683839644
185,okhotsk,59.3833,143.3,0.48,88,100,1.29,RU,1683839644
186,qarqaraly,49.4058,75.4742,14.73,56,100,2.71,KZ,1683839644
187,hualien city,23.9769,121.6044,22.24,84,74,0.99,TW,1683839645
188,avarua,-21.2078,-159.775,27.03,74,75,8.23,CK,1683839645
189,marquette,46.5333,-87.6335,27.1,55,29,3.13,US,1683839645
